version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_before,metric_after,run_file
v0,Nguyen Duc Kien Trung,baseline,v0+peb1c8179815b+t6cdb53d5d7b8,peb1c8179815b,t6cdb53d5d7b8,baseline run,,N/A,0.5455,runs/v0_B_base_gemini_20260602T135510357476.json
v1,Nguyen Duc Kien Trung,system_prompt.md,v1+paec71bc7470f+t6cdb53d5d7b8,paec71bc7470f,t6cdb53d5d7b8,fix 5 anti-patterns in system prompt,replacing guess/auto-send/single-tool/no-scope rules with correct routing+clarify+scope rules fixes R08 R09 R10 R11 R12,0.5455,1.0,runs/v1_B_base_gemini_20260602T141428447136.json
v2,Nguyen Duc Kien Trung,tools/crawl + tools.yaml,v2+pe0f31f23d3f7+t05efe02bb3bb,pe0f31f23d3f7,t05efe02bb3bb,add new crawl tool using Firecrawl multi-page crawl API,new crawl tool extends agent capability for site-level reading beyond single-URL fetch,1.0,1.0,runs/v2_B_base_gemini_20260602T143038275095.json
